id,year,round,roundname,date,hteam,hteamid,hscore,ateam,ateamid,ascore,venue,winner,complete,is_final,is_grand_final,margin,is_home_win,season,round_number
2760,2015,11,Round 11,2015-06-12 19:50:00,Port Adelaide,13,69,Geelong,7,92,Adelaide Oval,Geelong,100,0,0,-23,0,2015,11
2761,2015,11,Round 11,2015-06-13 13:40:00,Gold Coast,8,46,Fremantle,6,53,Carrara,Fremantle,100,0,0,-7,0,2015,11
2762,2015,11,Round 11,2015-06-13 16:35:00,West Coast,17,96,Essendon,5,46,Subiaco,West Coast,100,0,0,50,1,2015,11
2766,2015,11,Round 11,2015-06-13 19:20:00,North Melbourne,12,75,Sydney,16,91,Docklands,Sydney,100,0,0,-16,0,2015,11
2767,2015,11,Round 11,2015-06-14 13:10:00,Collingwood,4,119,Greater Western Sydney,9,77,M.C.G.,Collingwood,100,0,0,42,1,2015,11
2768,2015,11,Round 11,2015-06-14 16:40:00,St Kilda,15,85,Melbourne,11,83,Docklands,St Kilda,100,0,0,2,1,2015,11
2769,2015,12,Round 12,2015-06-18 19:50:00,Adelaide,1,85,Hawthorn,10,114,Adelaide Oval,Hawthorn,100,0,0,-29,0,2015,12
2770,2015,12,Round 12,2015-06-19 19:50:00,Richmond,14,70,West Coast,17,90,M.C.G.,West Coast,100,0,0,-20,0,2015,12
2771,2015,12,Round 12,2015-06-20 13:40:00,Carlton,3,110,Port Adelaide,13,106,M.C.G.,Carlton,100,0,0,4,1,2015,12
2772,2015,12,Round 12,2015-06-20 16:35:00,Greater Western Sydney,9,61,North Melbourne,12,117,Sydney Showground,North Melbourne,100,0,0,-56,0,2015,12
2773,2015,12,Round 12,2015-06-20 19:20:00,Western Bulldogs,18,146,Brisbane,2,74,Docklands,Western Bulldogs,100,0,0,72,1,2015,12
2774,2015,12,Round 12,2015-06-21 15:20:00,Geelong,7,89,Melbourne,11,113,GMHBA Stadium,Melbourne,100,0,0,-24,0,2015,12
2775,2015,13,Round 13,2015-06-25 20:10:00,Fremantle,6,80,Collingwood,4,73,Subiaco,Fremantle,100,0,0,7,1,2015,13
2776,2015,13,Round 13,2015-06-26 19:50:00,Sydney,16,77,Richmond,14,95,S.C.G.,Richmond,100,0,0,-18,0,2015,13
2777,2015,13,Round 13,2015-06-27 13:40:00,Hawthorn,10,114,Essendon,5,76,M.C.G.,Hawthorn,100,0,0,38,1,2015,13
2778,2015,13,Round 13,2015-06-27 16:35:00,Brisbane,2,69,Adelaide,1,82,Gabba,Adelaide,100,0,0,-13,0,2015,13
2779,2015,13,Round 13,2015-06-27 19:20:00,St Kilda,15,56,Western Bulldogs,18,62,Docklands,Western Bulldogs,100,0,0,-6,0,2015,13
2780,2015,13,Round 13,2015-06-28 15:20:00,Carlton,3,103,Gold Coast,8,69,Docklands,Carlton,100,0,0,34,1,2015,13
2781,2015,14,Round 14,2015-07-02 19:20:00,Sydney,16,94,Port Adelaide,13,84,S.C.G.,Sydney,100,0,0,10,1,2015,14
2782,2015,14,Round 14,2015-07-03 19:50:00,Collingwood,4,91,Hawthorn,10,101,M.C.G.,Hawthorn,100,0,0,-10,0,2015,14
2796,2015,14,Round 14,2015-07-04 13:40:00,Richmond,14,78,Greater Western Sydney,9,69,M.C.G.,Richmond,100,0,0,9,1,2015,14
2797,2015,14,Round 14,2015-07-04 16:40:00,Gold Coast,8,125,North Melbourne,12,70,Carrara,Gold Coast,100,0,0,55,1,2015,14
2798,2015,14,Round 14,2015-07-04 19:30:00,Western Bulldogs,18,64,Carlton,3,53,Docklands,Western Bulldogs,100,0,0,11,1,2015,14
2799,2015,14,Round 14,2015-07-04 19:40:00,Melbourne,11,60,West Coast,17,114,Marrara Oval,West Coast,100,0,0,-54,0,2015,14
2800,2015,14,Round 14,2015-07-05 13:10:00,Essendon,5,52,St Kilda,15,162,Docklands,St Kilda,100,0,0,-110,0,2015,14
2801,2015,14,Round 14,2015-07-05 16:40:00,Fremantle,6,84,Brisbane,2,48,Subiaco,Fremantle,100,0,0,36,1,2015,14
2802,2015,15,Round 15,2015-07-09 19:50:00,Port Adelaide,13,66,Collingwood,4,63,Adelaide Oval,Port Adelaide,100,0,0,3,1,2015,15
2812,2015,15,Round 15,2015-07-10 19:50:00,Richmond,14,71,Carlton,3,41,M.C.G.,Richmond,100,0,0,30,1,2015,15
2813,2015,15,Round 15,2015-07-11 13:40:00,Essendon,5,69,Melbourne,11,60,M.C.G.,Essendon,100,0,0,9,1,2015,15
2814,2015,15,Round 15,2015-07-11 16:35:00,Western Bulldogs,18,95,Gold Coast,8,73,Cazaly's Stadium,Western Bulldogs,100,0,0,22,1,2015,15
2815,2015,15,Round 15,2015-07-11 19:20:00,North Melbourne,12,120,Geelong,7,79,Docklands,North Melbourne,100,0,0,41,1,2015,15
2816,2015,15,Round 15,2015-07-11 19:40:00,West Coast,17,147,Adelaide,1,91,Subiaco,West Coast,100,0,0,56,1,2015,15
2817,2015,15,Round 15,2015-07-12 13:10:00,Greater Western Sydney,9,84,St Kilda,15,49,Sydney Showground,Greater Western Sydney,100,0,0,35,1,2015,15
2818,2015,15,Round 15,2015-07-12 15:20:00,Hawthorn,10,115,Fremantle,6,43,University of Tasmania Stadium,Hawthorn,100,0,0,72,1,2015,15
2819,2015,15,Round 15,2015-07-12 16:40:00,Brisbane,2,49,Sydney,16,70,Gabba,Sydney,100,0,0,-21,0,2015,15
2820,2015,16,Round 16,2015-07-17 19:50:00,North Melbourne,12,93,Essendon,5,68,Docklands,North Melbourne,100,0,0,25,1,2015,16
2821,2015,16,Round 16,2015-07-18 13:45:00,Geelong,7,72,Western Bulldogs,18,64,GMHBA Stadium,Geelong,100,0,0,8,1,2015,16
2822,2015,16,Round 16,2015-07-18 14:10:00,Gold Coast,8,79,Greater Western Sydney,9,94,Carrara,Greater Western Sydney,100,0,0,-15,0,2015,16
2835,2015,16,Round 16,2015-07-18 16:35:00,Collingwood,4,56,West Coast,17,87,Docklands,West Coast,100,0,0,-31,0,2015,16
2836,2015,16,Round 16,2015-07-18 19:20:00,Sydney,16,57,Hawthorn,10,146,Stadium Australia,Hawthorn,100,0,0,-89,0,2015,16
2837,2015,16,Round 16,2015-07-18 19:40:00,Fremantle,6,95,Carlton,3,53,Subiaco,Fremantle,100,0,0,42,1,2015,16
2838,2015,16,Round 16,2015-07-19 13:10:00,Melbourne,11,60,Brisbane,2,36,M.C.G.,Melbourne,100,0,0,24,1,2015,16
2839,2015,16,Round 16,2015-07-19 15:20:00,Port Adelaide,13,113,Adelaide,1,116,Adelaide Oval,Adelaide,100,0,0,-3,0,2015,16
2840,2015,16,Round 16,2015-07-19 16:40:00,St Kilda,15,73,Richmond,14,89,Docklands,Richmond,100,0,0,-16,0,2015,16
2841,2015,17,Round 17,2015-07-24 19:50:00,Carlton,3,35,Hawthorn,10,173,Docklands,Hawthorn,100,0,0,-138,0,2015,17
2842,2015,17,Round 17,2015-07-25 13:45:00,Greater Western Sydney,9,42,Geelong,7,69,UNSW Canberra Oval,Geelong,100,0,0,-27,0,2015,17
2847,2015,17,Round 17,2015-07-25 14:10:00,Adelaide,1,125,Gold Coast,8,80,Adelaide Oval,Adelaide,100,0,0,45,1,2015,17
2848,2015,17,Round 17,2015-07-25 16:35:00,Richmond,14,78,Fremantle,6,82,M.C.G.,Fremantle,100,0,0,-4,0,2015,17
2849,2015,17,Round 17,2015-07-25 19:20:00,Brisbane,2,38,North Melbourne,12,110,Gabba,North Melbourne,100,0,0,-72,0,2015,17
2850,2015,17,Round 17,2015-07-25 19:20:00,Essendon,5,116,Port Adelaide,13,129,Docklands,Port Adelaide,100,0,0,-13,0,2015,17
2851,2015,17,Round 17,2015-07-26 13:10:00,Western Bulldogs,18,104,Collingwood,4,86,Docklands,Western Bulldogs,100,0,0,18,1,2015,17
2852,2015,17,Round 17,2015-07-26 15:20:00,Melbourne,11,46,St Kilda,15,83,M.C.G.,St Kilda,100,0,0,-37,0,2015,17
2853,2015,17,Round 17,2015-07-26 16:40:00,West Coast,17,103,Sydney,16,51,Subiaco,West Coast,100,0,0,52,1,2015,17
2854,2015,18,Round 18,2015-07-31 19:50:00,Hawthorn,10,53,Richmond,14,71,M.C.G.,Richmond,100,0,0,-18,0,2015,18
2855,2015,18,Round 18,2015-08-01 13:45:00,Geelong,7,113,Brisbane,2,57,GMHBA Stadium,Geelong,100,0,0,56,1,2015,18
2856,2015,18,Round 18,2015-08-01 14:10:00,Collingwood,4,54,Melbourne,11,91,M.C.G.,Melbourne,100,0,0,-37,0,2015,18
2857,2015,18,Round 18,2015-08-01 16:35:00,Sydney,16,117,Adelaide,1,65,S.C.G.,Sydney,100,0,0,52,1,2015,18
2858,2015,18,Round 18,2015-08-01 19:20:00,Carlton,3,54,North Melbourne,12,118,Docklands,North Melbourne,100,0,0,-64,0,2015,18
2859,2015,18,Round 18,2015-08-01 19:20:00,Gold Coast,8,83,West Coast,17,83,Carrara,Draw,100,0,0,0,0,2015,18
2860,2015,18,Round 18,2015-08-02 13:10:00,Port Adelaide,13,112,St Kilda,15,49,Adelaide Oval,Port Adelaide,100,0,0,63,1,2015,18
2861,2015,18,Round 18,2015-08-02 15:20:00,Essendon,5,40,Western Bulldogs,18,127,Docklands,Western Bulldogs,100,0,0,-87,0,2015,18
2862,2015,18,Round 18,2015-08-02 16:40:00,Fremantle,6,84,Greater Western Sydney,9,63,Subiaco,Fremantle,100,0,0,21,1,2015,18
2872,2015,19,Round 19,2015-08-07 19:50:00,Adelaide,1,88,Richmond,14,52,Adelaide Oval,Adelaide,100,0,0,36,1,2015,19
2873,2015,19,Round 19,2015-08-08 13:45:00,Collingwood,4,105,Carlton,3,87,M.C.G.,Collingwood,100,0,0,18,1,2015,19
2874,2015,19,Round 19,2015-08-08 14:10:00,Western Bulldogs,18,128,Port Adelaide,13,64,Docklands,Western Bulldogs,100,0,0,64,1,2015,19
2875,2015,19,Round 19,2015-08-08 16:35:00,Brisbane,2,100,Gold Coast,8,114,Gabba,Gold Coast,100,0,0,-14,0,2015,19
2876,2015,19,Round 19,2015-08-08 19:20:00,Geelong,7,95,Sydney,16,63,GMHBA Stadium,Geelong,100,0,0,32,1,2015,19
2877,2015,19,Round 19,2015-08-08 19:40:00,West Coast,17,74,Hawthorn,10,88,Subiaco,Hawthorn,100,0,0,-14,0,2015,19
2878,2015,19,Round 19,2015-08-09 13:10:00,Melbourne,11,92,North Melbourne,12,127,M.C.G.,North Melbourne,100,0,0,-35,0,2015,19
2879,2015,19,Round 19,2015-08-09 15:20:00,Greater Western Sydney,9,93,Essendon,5,61,Sydney Showground,Greater Western Sydney,100,0,0,32,1,2015,19
2880,2015,19,Round 19,2015-08-09 16:40:00,St Kilda,15,59,Fremantle,6,96,Docklands,Fremantle,100,0,0,-37,0,2015,19
2881,2015,20,Round 20,2015-08-14 19:50:00,Sydney,16,87,Collingwood,4,76,S.C.G.,Sydney,100,0,0,11,1,2015,20
2882,2015,20,Round 20,2015-08-15 13:45:00,Essendon,5,59,Adelaide,1,171,Docklands,Adelaide,100,0,0,-112,0,2015,20
2893,2015,20,Round 20,2015-08-15 14:10:00,North Melbourne,12,120,St Kilda,15,83,Bellerive Oval,North Melbourne,100,0,0,37,1,2015,20
2894,2015,20,Round 20,2015-08-15 16:35:00,Port Adelaide,13,111,Greater Western Sydney,9,90,Adelaide Oval,Port Adelaide,100,0,0,21,1,2015,20
2895,2015,20,Round 20,2015-08-15 19:20:00,Geelong,7,85,Hawthorn,10,121,M.C.G.,Hawthorn,100,0,0,-36,0,2015,20
2896,2015,20,Round 20,2015-08-15 19:20:00,Brisbane,2,131,Carlton,3,67,Gabba,Brisbane,100,0,0,64,1,2015,20
2897,2015,20,Round 20,2015-08-16 13:10:00,Richmond,14,138,Gold Coast,8,55,M.C.G.,Richmond,100,0,0,83,1,2015,20
2898,2015,20,Round 20,2015-08-16 15:20:00,Western Bulldogs,18,153,Melbourne,11,55,Docklands,Western Bulldogs,100,0,0,98,1,2015,20
2899,2015,20,Round 20,2015-08-16 16:40:00,Fremantle,6,80,West Coast,17,104,Subiaco,West Coast,100,0,0,-24,0,2015,20
2900,2015,21,Round 21,2015-08-21 19:50:00,Hawthorn,10,86,Port Adelaide,13,108,Docklands,Port Adelaide,100,0,0,-22,0,2015,21
2901,2015,21,Round 21,2015-08-22 13:45:00,Collingwood,4,56,Richmond,14,147,M.C.G.,Richmond,100,0,0,-91,0,2015,21
2902,2015,21,Round 21,2015-08-22 14:10:00,Greater Western Sydney,9,44,Sydney,16,133,Sydney Showground,Sydney,100,0,0,-89,0,2015,21
2906,2015,21,Round 21,2015-08-22 16:35:00,Gold Coast,8,97,Essendon,5,95,Carrara,Gold Coast,100,0,0,2,1,2015,21
2907,2015,21,Round 21,2015-08-22 19:20:00,St Kilda,15,97,Geelong,7,97,Docklands,Draw,100,0,0,0,0,2015,21
2908,2015,21,Round 21,2015-08-22 19:40:00,Adelaide,1,131,Brisbane,2,44,Adelaide Oval,Adelaide,100,0,0,87,1,2015,21
2909,2015,21,Round 21,2015-08-23 13:10:00,North Melbourne,12,94,Fremantle,6,83,Docklands,North Melbourne,100,0,0,11,1,2015,21
2910,2015,21,Round 21,2015-08-23 15:20:00,Carlton,3,78,Melbourne,11,55,M.C.G.,Carlton,100,0,0,23,1,2015,21
2911,2015,21,Round 21,2015-08-23 16:40:00,West Coast,17,162,Western Bulldogs,18,85,Subiaco,West Coast,100,0,0,77,1,2015,21
2912,2015,22,Round 22,2015-08-28 19:50:00,Geelong,7,62,Collingwood,4,110,M.C.G.,Collingwood,100,0,0,-48,0,2015,22
2913,2015,22,Round 22,2015-08-29 13:45:00,Greater Western Sydney,9,132,Carlton,3,51,Sydney Showground,Greater Western Sydney,100,0,0,81,1,2015,22
