date,season,round_number,home_team,away_team,venue,home_elo,away_elo,elo_diff,elo_prob,home_form_5,home_form_10,away_form_5,away_form_10,home_avg_margin_5,away_avg_margin_5,home_avg_score_5,away_avg_score_5,home_avg_conceded_5,away_avg_conceded_5,home_streak,away_streak,h2h_home_wins_5,h2h_avg_margin_5,home_venue_win_rate,away_venue_win_rate,is_home_ground,days_rest_home,days_rest_away,home_win,margin
2015-06-14 16:40:00,2015,11,St Kilda,Melbourne,Docklands,1451.15,1448.27,42.88,0.5614,0.4,0.3,0.2,0.3,-26.6,-38.0,84.4,68.4,111.0,106.4,-1,-2,,,0.2,,0,7.0,6.0,1,2
2015-06-18 19:50:00,2015,12,Adelaide,Hawthorn,Adelaide Oval,1521.88,1523.95,37.93,0.5544,0.6,0.6,0.6,0.6,12.2,41.4,95.6,109.4,83.4,68.0,1,2,,,0.6,0.0,0,12.0,11.0,0,-29
2015-06-19 19:50:00,2015,12,Richmond,West Coast,M.C.G.,1533.39,1559.05,14.34,0.5206,0.8,0.6,0.8,0.8,8.6,48.2,84.8,111.4,76.2,63.2,4,1,,,0.5,,0,13.0,6.0,0,-20
2015-06-20 13:40:00,2015,12,Carlton,Port Adelaide,M.C.G.,1396.55,1486.16,-49.61,0.4291,0.0,0.1,0.4,0.5,-46.6,1.2,69.4,78.4,116.0,77.2,-6,-1,,,0.0,,0,14.0,7.0,1,4
2015-06-20 16:35:00,2015,12,Greater Western Sydney,North Melbourne,Sydney Showground,1532.66,1492.78,79.88,0.613,0.6,0.6,0.4,0.5,9.0,-17.0,97.0,78.0,88.0,95.0,-1,-1,,,1.0,,0,6.0,6.0,0,-56
2015-06-20 19:20:00,2015,12,Western Bulldogs,Brisbane,Docklands,1497.89,1422.31,115.58,0.6605,0.2,0.5,0.4,0.2,-10.4,-12.8,82.8,83.4,93.2,96.2,-1,-3,,,0.6,0.3333,0,13.0,13.0,1,72
2015-06-21 15:20:00,2015,12,Geelong,Melbourne,GMHBA Stadium,1524.79,1435.11,129.68,0.6784,0.6,0.6,0.2,0.2,14.0,-30.8,99.0,75.0,85.0,105.8,2,-3,,,0.3333,,0,8.0,6.0,0,-24
2015-06-25 20:10:00,2015,13,Fremantle,Collingwood,Subiaco,1607.71,1561.95,85.77,0.621,0.8,0.9,0.8,0.7,15.4,29.6,81.4,114.6,66.0,85.0,1,4,,,0.8333,,0,12.0,11.0,1,7
2015-06-26 19:50:00,2015,13,Sydney,Richmond,S.C.G.,1588.03,1517.77,110.26,0.6536,1.0,0.8,0.8,0.5,35.0,11.6,99.8,84.0,64.8,72.4,6,-1,,,0.6667,,0,13.0,7.0,0,-18
2015-06-27 13:40:00,2015,13,Hawthorn,Essendon,M.C.G.,1540.58,1459.41,121.18,0.6676,0.8,0.6,0.2,0.4,49.2,-17.0,112.6,75.2,63.4,92.2,3,-3,0.0,-2.0,0.5,0.5,0,8.0,13.0,1,38
2015-06-27 16:35:00,2015,13,Brisbane,Adelaide,Gabba,1412.12,1505.25,-53.13,0.4241,0.2,0.2,0.4,0.5,-29.0,-1.8,81.4,88.8,110.4,90.6,-4,-1,,,0.2,,0,6.0,8.0,0,-13
2015-06-27 19:20:00,2015,13,St Kilda,Western Bulldogs,Docklands,1464.31,1508.07,-3.77,0.4946,0.4,0.4,0.4,0.5,-27.6,5.4,82.6,94.6,110.2,89.2,1,1,1.0,7.0,0.3333,0.6667,0,13.0,7.0,0,-6
2015-06-28 15:20:00,2015,13,Carlton,Gold Coast,Docklands,1413.68,1392.07,61.61,0.5877,0.2,0.2,0.0,0.1,-44.0,-54.6,76.4,46.6,120.4,101.2,1,-6,,,0.0,,0,8.0,15.0,1,34
2015-07-02 19:20:00,2015,14,Sydney,Port Adelaide,S.C.G.,1568.42,1469.04,139.38,0.6905,0.8,0.7,0.4,0.5,22.8,7.8,91.2,86.6,68.4,78.8,-1,-2,1.0,48.0,0.5,,0,5.0,12.0,1,10
2015-07-03 19:50:00,2015,14,Collingwood,Hawthorn,M.C.G.,1550.58,1550.56,40.02,0.5573,0.8,0.7,0.8,0.7,29.2,35.8,109.2,104.4,80.0,68.6,-1,4,,,0.75,0.6,0,7.0,6.0,0,-10
2015-07-04 13:40:00,2015,14,Richmond,Greater Western Sydney,M.C.G.,1537.37,1514.28,63.1,0.5898,0.8,0.6,0.4,0.5,14.2,-17.8,82.0,82.2,67.8,100.0,1,-2,,,0.4286,0.0,0,7.0,13.0,1,9
2015-07-04 16:40:00,2015,14,Gold Coast,North Melbourne,Carrara,1379.71,1511.17,-91.46,0.3713,0.0,0.1,0.4,0.5,-43.0,-8.0,51.8,82.8,94.8,90.8,-7,1,,,0.1667,,0,6.0,14.0,1,55
2015-07-04 19:30:00,2015,14,Western Bulldogs,Carlton,Docklands,1522.91,1426.05,136.86,0.6874,0.6,0.5,0.4,0.3,9.2,-21.6,89.4,85.6,80.2,107.2,2,2,,,0.7143,0.25,0,7.0,6.0,1,11
2015-07-04 19:40:00,2015,14,Melbourne,West Coast,Marrara Oval,1455.46,1574.66,-79.2,0.388,0.4,0.3,0.8,0.8,-5.0,33.8,87.6,102.4,92.6,68.6,1,2,,,,,0,13.0,14.0,0,-54
2015-07-05 13:10:00,2015,14,Essendon,St Kilda,Docklands,1449.44,1449.47,39.97,0.5573,0.2,0.3,0.4,0.3,-22.4,-19.6,74.0,79.2,96.4,98.8,-4,-1,1.0,2.0,0.5,0.2857,0,7.0,7.0,0,-110
2015-07-05 16:40:00,2015,14,Fremantle,Brisbane,Subiaco,1619.09,1399.4,259.69,0.8168,0.8,0.9,0.0,0.2,14.2,-39.0,77.2,74.8,63.0,113.8,2,-5,,,0.8571,,0,9.0,8.0,1,36
2015-07-09 19:50:00,2015,15,Port Adelaide,Collingwood,Adelaide Oval,1459.75,1533.86,-34.11,0.4511,0.4,0.4,0.6,0.6,12.4,13.4,94.8,101.0,82.4,87.6,-3,-2,,,0.4286,,0,7.0,6.0,1,3
2015-07-10 19:50:00,2015,15,Richmond,Carlton,M.C.G.,1549.68,1416.67,173.01,0.7303,0.8,0.6,0.4,0.3,9.4,-8.4,82.4,83.6,73.0,92.0,2,-1,1.0,27.0,0.5,0.2,0,6.0,6.0,1,30
